#time	V(in1/out1)	V(in2)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.812499952519758e-11	1.562500e-07	2.058223e-08	1.356678e-08
1.562499990503952e-10	3.125000e-07	6.852653e-08	2.439735e-08
3.124999981007903e-10	6.250000e-07	2.247703e-07	4.002297e-08
6.249999962015806e-10	1.250000e-06	6.749404e-07	5.750596e-08
1.249999992403161e-09	2.500000e-06	1.794662e-06	7.053383e-08
2.499999984806323e-09	5.000000e-06	4.244907e-06	7.550931e-08
4.553124997764362e-06	9.106250e-03	9.105427e-03	8.233925e-08
9.103749995543918e-06	1.820750e-02	1.820659e-02	9.140897e-08
1.365437499332347e-05	2.730875e-02	2.730772e-02	1.027185e-07
1.820499999110303e-05	3.641000e-02	3.640884e-02	1.162678e-07
2.275562498888259e-05	4.551125e-02	4.550993e-02	1.320568e-07
2.730624998666214e-05	5.461250e-02	5.461100e-02	1.500857e-07
3.185687498444169e-05	6.371375e-02	6.371205e-02	1.703544e-07
3.771624998444169e-05	7.543250e-02	7.543046e-02	2.041279e-07
4.357562498444170e-05	8.715125e-02	8.714879e-02	2.465220e-07
4.943499998444170e-05	9.887000e-02	9.886700e-02	2.997736e-07
5.529437498444171e-05	1.105888e-01	1.105851e-01	3.667008e-07
5.920062498444171e-05	1.184013e-01	1.183970e-01	4.206341e-07
6.310687498444171e-05	1.262137e-01	1.262089e-01	4.834751e-07
6.701312498444172e-05	1.340262e-01	1.340207e-01	5.567057e-07
7.091937498444172e-05	1.418387e-01	1.418323e-01	6.420545e-07
7.482562498444172e-05	1.496512e-01	1.496438e-01	7.415379e-07
7.873187498444173e-05	1.574637e-01	1.574552e-01	8.575075e-07
8.263812498444173e-05	1.652762e-01	1.652663e-01	9.927064e-07
8.654437498444174e-05	1.730887e-01	1.730773e-01	1.150334e-06
9.045062498444174e-05	1.809012e-01	1.808879e-01	1.334121e-06
9.435687498444174e-05	1.887137e-01	1.886983e-01	1.548419e-06
9.826312498444175e-05	1.965262e-01	1.965083e-01	1.798302e-06
1.021693749844417e-04	2.043387e-01	2.043179e-01	2.089688e-06
1.060756249844418e-04	2.121512e-01	2.121270e-01	2.429475e-06
1.080287499844418e-04	2.160575e-01	2.160313e-01	2.619983e-06
1.099818749844418e-04	2.199637e-01	2.199355e-01	2.825708e-06
1.119349999844418e-04	2.238700e-01	2.238395e-01	3.047865e-06
1.138881249844418e-04	2.277762e-01	2.277434e-01	3.287765e-06
1.158412499844418e-04	2.316825e-01	2.316470e-01	3.546826e-06
1.177943749844418e-04	2.355887e-01	2.355505e-01	3.826577e-06
1.197474999844418e-04	2.394950e-01	2.394537e-01	4.128668e-06
1.217006249844418e-04	2.434012e-01	2.433567e-01	4.454883e-06
1.236537499844418e-04	2.473075e-01	2.472594e-01	4.807145e-06
1.256068749844418e-04	2.512138e-01	2.511619e-01	5.187531e-06
1.275599999844418e-04	2.551200e-01	2.550640e-01	5.598283e-06
1.295131249844418e-04	2.590263e-01	2.589658e-01	6.041818e-06
1.314662499844418e-04	2.629325e-01	2.628673e-01	6.520750e-06
1.334193749844418e-04	2.668388e-01	2.667684e-01	7.037895e-06
1.353724999844418e-04	2.707450e-01	2.706690e-01	7.596293e-06
1.373256249844418e-04	2.746513e-01	2.745693e-01	8.199225e-06
1.392787499844418e-04	2.785575e-01	2.784690e-01	8.850230e-06
1.412318749844418e-04	2.824638e-01	2.823682e-01	9.553128e-06
1.431849999844418e-04	2.863700e-01	2.862669e-01	1.031204e-05
1.451381249844418e-04	2.902763e-01	2.901649e-01	1.113140e-05
1.470912499844418e-04	2.941825e-01	2.940623e-01	1.201601e-05
1.490443749844418e-04	2.980888e-01	2.979590e-01	1.297103e-05
1.509974999844418e-04	3.019950e-01	3.018550e-01	1.400203e-05
1.529506249844418e-04	3.059013e-01	3.057501e-01	1.511503e-05
1.549037499844418e-04	3.098075e-01	3.096443e-01	1.631649e-05
1.568568749844418e-04	3.137138e-01	3.135376e-01	1.761339e-05
1.588099999844418e-04	3.176200e-01	3.174299e-01	1.901325e-05
1.607631249844418e-04	3.215263e-01	3.213210e-01	2.052416e-05
1.627162499844418e-04	3.254325e-01	3.252110e-01	2.215485e-05
1.646693749844418e-04	3.293388e-01	3.290996e-01	2.391472e-05
1.666224999844418e-04	3.332450e-01	3.329869e-01	2.581387e-05
1.685756249844418e-04	3.371513e-01	3.368726e-01	2.786321e-05
1.705287499844418e-04	3.410575e-01	3.407568e-01	3.007445e-05
1.724818749844418e-04	3.449638e-01	3.446392e-01	3.246019e-05
1.744349999844418e-04	3.488700e-01	3.485197e-01	3.503399e-05
1.763881249844418e-04	3.527763e-01	3.523982e-01	3.781044e-05
1.783412499844418e-04	3.566825e-01	3.562744e-01	4.080520e-05
1.802943749844418e-04	3.605888e-01	3.601484e-01	4.403509e-05
1.822474999844418e-04	3.644950e-01	3.640198e-01	4.751818e-05
1.842006249844418e-04	3.684013e-01	3.678885e-01	5.127388e-05
1.861537499844418e-04	3.723075e-01	3.717543e-01	5.532299e-05
1.881068749844418e-04	3.762138e-01	3.756169e-01	5.968783e-05
1.900599999844418e-04	3.801200e-01	3.794761e-01	6.439231e-05
1.920131249844418e-04	3.840263e-01	3.833316e-01	6.946204e-05
1.939662499844418e-04	3.879325e-01	3.871832e-01	7.492444e-05
1.959193749844418e-04	3.918388e-01	3.910307e-01	8.080882e-05
